AppId,StartTime,EndTime,Id
"Dotyk.Application.AirHockey","2018-02-01T15:47:11.3533425Z","2018-02-01T15:48:03.639Z","d4204b71-dd24-4a0c-aee1-091acebbebd8"
"Dotyk.Application.AirHockey","2018-02-01T15:48:08.3647873Z","2018-02-01T15:53:47.538Z","5baba0b0-3e02-434e-81be-b97b6eff7b18"
"Dotyk.Application.AirHockey","2018-02-01T15:48:09.5551596Z","2018-02-01T15:56:01.195Z","e0c9d475-b270-46df-9888-f28d20748aea"
"Dotyk.Application.AirHockey","2018-02-01T15:48:10.0063181Z","2018-02-01T16:06:34.101Z","4d0b37cc-e1b4-4c3b-bf28-430ab7de5a06"
"Dotyk.Application.AirHockey","2018-02-01T15:49:06.1333784Z","2018-02-01T15:50:06.839Z","5b41c4e1-b00f-46d2-a01e-a97d2f81e632"
"Dotyk.Application.AirHockey","2018-02-01T15:50:10.1468825Z","2018-02-01T15:50:16.19Z","7e584fdc-367a-4b22-932e-e5fd5fe2a04b"
"Dotyk.Application.PhotoShare","2018-02-01T15:50:36.565517Z","2018-02-01T15:50:39.141Z","d63f9fdf-dfb0-4721-af06-ea3691091ad4"
"Dotyk.Application.JigsawPuzzle","2018-02-01T15:50:46.6522653Z","2018-02-01T15:50:51.447Z","4eee2f54-1abb-4398-8015-aff333d8c870"
"Dotyk.Application.Wallpapers","2018-02-01T15:50:52.4383834Z","2018-02-01T15:52:07.654Z","d64cdd53-e8eb-49ea-8912-9a365ec903b1"
"Dotyk.Application.Restaurant","2018-02-01T15:52:17.726124Z","2018-02-01T15:52:43.287Z","93590ab4-6643-4b53-adf2-ab6aee285ed6"
"Dotyk.Application.PhotoShare","2018-02-01T15:52:19.548902Z","2018-02-01T15:55:22.793Z","2185cd7e-2454-4720-ba46-9029e167eea8"
"Dotyk.Application.PhotoShare","2018-02-01T15:53:11.4559029Z","2018-02-01T15:54:28.206Z","2bae4b5a-e4b0-4bd2-a679-1f2aea65cdfd"
"Dotyk.Application.Paint","2018-02-01T15:53:25.9545563Z","2018-02-01T15:56:03.293Z","d17f5f52-abea-45bd-a3ea-fc6efff8ca72"
"Dotyk.Application.AirHockey","2018-02-01T15:53:51.2585516Z","2018-02-01T15:54:27.158Z","be7296f6-a45f-4f76-bad4-4867d679209e"
"Dotyk.Application.AirHockey","2018-02-01T15:54:00.0691188Z","2018-02-01T15:55:54.64Z","633b85dc-c5e9-45e9-a945-d64bce5c32f6"
"Dotyk.Application.AirHockey","2018-02-01T15:54:31.6657635Z","2018-02-01T15:56:26.559Z","1921558f-5bd5-4657-bb62-e242f1ebc9ca"
"Dotyk.Application.AirHockey","2018-02-01T15:56:04.5311389Z","2018-02-01T15:56:33.629Z","ca24640f-a251-4638-b3b2-5dbdfdbcb4c6"
"Dotyk.Application.AirHockey","2018-02-01T15:56:10.5012269Z","2018-02-01T15:56:20.027Z","3585a128-08e5-478f-8e77-c13710537a54"
"Dotyk.Application.PhotoShare","2018-02-01T15:56:28.519543Z","2018-02-01T15:58:18.592Z","7b697495-89ec-41b6-8fa9-26d44fcbb90e"
