ApplicationID,SessionID,PlaceID,ApplicationName
1AEDDFEA-484F-48BE-871C-BDF9D0C64904,F6E6756E-2CAA-4154-87DC-22C91E019F16,1BD31074-917D-40AA-BED7-EAE7ABF32AF3,Dotyk.Application.Restaurant
48BD3953-54C3-49FB-BEF0-ACD7D5A95480,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Restaurant
8A7FF621-9954-426A-AAFD-0C358ACD56BA,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Restaurant
94B96EA2-CA3C-424E-8A8C-6B9E0F2DE680,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.Restaurant
C91F8A8C-F2EF-4840-99C0-D8652E139C3A,45B253B0-B10E-4B47-A6F6-51B2D4B09150,F52E660B-07EA-4401-8FCD-EBF0C876055A,Dotyk.Application.Restaurant
393EE34E-5E34-4DCF-B101-47EE744AB53C,45B253B0-B10E-4B47-A6F6-51B2D4B09150,F52E660B-07EA-4401-8FCD-EBF0C876055A,Dotyk.Application.Restaurant
576662D4-1F1C-43A4-B796-92467DB49BA8,45B253B0-B10E-4B47-A6F6-51B2D4B09150,F52E660B-07EA-4401-8FCD-EBF0C876055A,Dotyk.Application.Restaurant
BDACE7BA-FD63-424C-8A2D-E1C74570BCFF,4D966EF8-11FA-4F18-BC0D-BE95FC18C69F,B7188438-690D-425D-B2C1-A69E8377C351,Dotyk.Application.Restaurant
0BE443AA-00E5-4BF9-8C8C-EBC06F533513,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.Paint
A7696F05-A21D-4AF2-85E8-FC156270BD7A,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Paint
B08142E5-2758-49EB-80A4-24BAF1AACE43,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Restaurant
558F23AB-EC6B-4F79-B47D-DD1B441FA331,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.Memory
DE1F4347-5AF4-4100-9707-03B27CC7596F,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Paint
126E3A02-07F6-4D43-960B-1DC80A151C41,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.PhotoShare
A697D862-86BD-4D19-A673-BAE5EFBFCCA7,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Restaurant
E91398AC-2FAA-41AF-B11E-8C98AA42AED2,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Restaurant
FFBB3BE2-64BC-4E5B-8FB6-D6E7DDA11651,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.News
6C797B85-8B94-4D83-A141-B57393149C03,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Restaurant
5F4992F9-53E8-44EE-BD39-6450FF4353BB,52399819-6A71-4A0C-9C06-130C1DA5C3F7,23E6981B-0D4D-46C6-8673-286A217481C1,Dotyk.Application.Wallpapers
896EAF87-DC01-4980-93DC-DBD23716CAC4,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.Wallpapers
C2E9A3D3-8A63-495A-909C-5F0446BCFF1F,52399819-6A71-4A0C-9C06-130C1DA5C3F7,23E6981B-0D4D-46C6-8673-286A217481C1,Dotyk.Application.Paint
641186D8-12E0-42B0-A11E-4E0EAEF4089C,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.JigsawPuzzle
9953323F-AD31-4F5A-A55D-0A7AE48E9C03,F6E6756E-2CAA-4154-87DC-22C91E019F16,1BD31074-917D-40AA-BED7-EAE7ABF32AF3,Dotyk.Application.Memory
B25A7EE6-A5EE-4218-97E4-2DE244752957,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.AirHockey
2A895465-D1CF-41EE-A047-2CB5B10741D3,5D004BBE-9657-4FDA-A35C-C358EB8667C4,12A47B8C-1FAE-4733-90EB-96A97F6CBFB1,Dotyk.Application.JigsawPuzzle
C5010C08-D42B-4597-8AB6-8C6BE40D3205,4D1C993E-6044-4443-A6A6-24DB24208283,F89F5180-17AE-49A0-A437-60D3076EF41D,Dotyk.Application.Restaurant
A4E902A4-20C9-4E73-8D01-427C7315C9BC,C4DB40F0-2DA2-4C2D-AD6F-C06BCE828B58,493EC884-431F-4A31-8BC0-D16D9B826B77,Dotyk.Application.Restaurant
2E981898-87ED-4E8C-AC52-FBCEF24A79B0,027B92CD-905F-4BA0-8C52-017B5AC56BDB,A50A7374-9562-47F8-B62B-14204F835205,Dotyk.Application.Restaurant
95C5E6B6-4428-4DC3-8E7B-496AF7269881,027B92CD-905F-4BA0-8C52-017B5AC56BDB,A50A7374-9562-47F8-B62B-14204F835205,Dotyk.Application.Restaurant
A28FF980-62A2-4AAD-849E-9EDA250E5F13,F6E6756E-2CAA-4154-87DC-22C91E019F16,1BD31074-917D-40AA-BED7-EAE7ABF32AF3,Dotyk.Application.JigsawPuzzle
9E3F7DC3-3F59-4113-AC96-77120E2F23C6,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Paint
1F89AF63-212D-4502-A68F-268D8FCBEE72,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.AirHockey
